=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-E-n33/Vrp-Set-E-n33-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 8 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 32 CLIENTS AND 8 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.03 | Feas 60 837.67 842.60 | NO-INFEASIBLE | Div 0.24 -1.00 | Feas 1.00 1.00 | Pen 0.10 0.85
It    500    502 | T(s) 0.12 | Feas 27 837.67 857.04 | NO-INFEASIBLE | Div 0.44 -1.00 | Feas 1.00 1.00 | Pen 0.10 0.38
It   1000   1002 | T(s) 0.21 | Feas 45 837.67 843.66 | Inf 63 849.19 849.19 | Div 0.28 0.00 | Feas 0.68 1.00 | Pen 0.10 0.17
It   1500   1502 | T(s) 0.30 | Feas 32 837.67 848.83 | Inf 29 849.19 850.92 | Div 0.39 0.10 | Feas 0.72 1.00 | Pen 0.10 0.10
It   2000   2002 | T(s) 0.41 | Feas 25 837.67 856.32 | Inf 25 849.19 863.01 | Div 0.45 0.25 | Feas 0.83 1.00 | Pen 0.10 0.10
It   2500   2502 | T(s) 0.51 | Feas 65 837.67 840.56 | Inf 46 849.19 856.42 | Div 0.19 0.16 | Feas 0.71 1.00 | Pen 0.10 0.10
It   3000   3002 | T(s) 0.61 | Feas 55 837.67 841.28 | Inf 27 849.19 861.41 | Div 0.21 0.26 | Feas 0.79 1.00 | Pen 0.10 0.10
It   3500   3502 | T(s) 0.71 | Feas 44 837.67 843.75 | Inf 55 849.19 850.91 | Div 0.30 0.10 | Feas 0.69 1.00 | Pen 0.10 0.10
It   4000   4002 | T(s) 0.81 | Feas 49 837.67 844.29 | Inf 35 849.19 864.24 | Div 0.29 0.30 | Feas 0.75 1.00 | Pen 0.10 0.10
It   4500   4502 | T(s) 0.90 | Feas 50 837.67 843.73 | Inf 41 849.19 861.43 | Div 0.29 0.25 | Feas 0.86 1.00 | Pen 0.10 0.10
It   5000   5002 | T(s) 1.02 | Feas 42 837.67 845.80 | Inf 58 849.19 850.58 | Div 0.31 0.09 | Feas 0.84 1.00 | Pen 0.10 0.10
It   5500   5502 | T(s) 1.14 | Feas 43 837.67 845.34 | Inf 60 849.19 857.93 | Div 0.31 0.16 | Feas 0.89 1.00 | Pen 0.10 0.10
It   6000   6002 | T(s) 1.24 | Feas 51 837.67 843.04 | Inf 34 849.19 870.02 | Div 0.26 0.33 | Feas 0.86 1.00 | Pen 0.10 0.10
It   6500   6502 | T(s) 1.35 | Feas 54 837.67 843.53 | Inf 46 849.19 861.46 | Div 0.27 0.24 | Feas 0.81 1.00 | Pen 0.10 0.10
It   7000   7002 | T(s) 1.44 | Feas 57 837.67 843.73 | Inf 55 849.19 860.97 | Div 0.27 0.22 | Feas 0.83 1.00 | Pen 0.10 0.10
It   7500   7502 | T(s) 1.55 | Feas 61 837.67 840.66 | Inf 57 849.19 864.28 | Div 0.19 0.18 | Feas 0.83 1.00 | Pen 0.10 0.10
It   8000   8002 | T(s) 1.65 | Feas 63 837.67 841.77 | Inf 27 849.19 877.62 | Div 0.23 0.39 | Feas 0.78 1.00 | Pen 0.10 0.10
It   8500   8502 | T(s) 1.74 | Feas 38 837.67 845.03 | Inf 56 849.19 861.22 | Div 0.32 0.22 | Feas 0.80 1.00 | Pen 0.10 0.10
It   9000   9002 | T(s) 1.85 | Feas 33 837.67 849.13 | Inf 26 849.19 877.47 | Div 0.40 0.40 | Feas 0.81 1.00 | Pen 0.10 0.10
It   9500   9502 | T(s) 1.95 | Feas 42 837.67 846.40 | Inf 56 849.19 857.28 | Div 0.32 0.19 | Feas 0.84 1.00 | Pen 0.10 0.10
It  10000  10002 | T(s) 2.05 | Feas 45 837.67 846.54 | Inf 26 849.19 877.50 | Div 0.31 0.40 | Feas 0.82 1.00 | Pen 0.10 0.10
It  10500  10502 | T(s) 2.15 | Feas 50 837.67 843.21 | Inf 32 849.19 871.85 | Div 0.27 0.35 | Feas 0.82 1.00 | Pen 0.10 0.10
It  11000  11002 | T(s) 2.25 | Feas 57 837.67 843.39 | Inf 26 849.19 876.72 | Div 0.27 0.40 | Feas 0.83 1.00 | Pen 0.10 0.10
It  11500  11502 | T(s) 2.35 | Feas 61 837.67 841.43 | Inf 64 849.19 858.91 | Div 0.22 0.21 | Feas 0.79 1.00 | Pen 0.10 0.10
It  12000  12002 | T(s) 2.46 | Feas 28 837.67 852.08 | Inf 60 849.19 860.00 | Div 0.42 0.21 | Feas 0.85 1.00 | Pen 0.10 0.10
It  12500  12502 | T(s) 2.55 | Feas 41 837.67 844.38 | Inf 52 849.19 857.71 | Div 0.31 0.17 | Feas 0.83 1.00 | Pen 0.10 0.10
It  13000  13002 | T(s) 2.66 | Feas 48 837.67 843.85 | Inf 58 849.19 859.38 | Div 0.29 0.18 | Feas 0.84 1.00 | Pen 0.10 0.10
It  13500  13502 | T(s) 2.76 | Feas 53 837.67 843.02 | Inf 65 849.19 862.64 | Div 0.27 0.18 | Feas 0.76 1.00 | Pen 0.10 0.10
It  14000  14002 | T(s) 2.86 | Feas 25 837.67 860.27 | Inf 65 849.19 851.46 | Div 0.49 0.16 | Feas 0.81 1.00 | Pen 0.10 0.10
It  14500  14502 | T(s) 2.97 | Feas 29 837.67 851.68 | Inf 63 849.19 854.93 | Div 0.44 0.24 | Feas 0.79 1.00 | Pen 0.10 0.10
It  15000  15002 | T(s) 3.07 | Feas 38 837.67 846.06 | Inf 25 849.19 877.89 | Div 0.34 0.43 | Feas 0.86 1.00 | Pen 0.10 0.10
It  15500  15502 | T(s) 3.17 | Feas 43 837.67 844.67 | Inf 29 849.19 872.81 | Div 0.31 0.40 | Feas 0.84 1.00 | Pen 0.10 0.10
It  16000  16002 | T(s) 3.27 | Feas 48 837.67 842.82 | Inf 29 849.19 872.91 | Div 0.25 0.39 | Feas 0.82 1.00 | Pen 0.10 0.10
It  16500  16502 | T(s) 3.37 | Feas 61 837.67 841.56 | Inf 62 849.19 851.53 | Div 0.23 0.21 | Feas 0.79 1.00 | Pen 0.10 0.10
It  17000  17002 | T(s) 3.47 | Feas 28 837.67 850.96 | Inf 54 849.19 859.25 | Div 0.45 0.27 | Feas 0.88 1.00 | Pen 0.10 0.10
It  17500  17502 | T(s) 3.58 | Feas 42 837.67 844.84 | Inf 25 849.19 877.80 | Div 0.33 0.45 | Feas 0.81 1.00 | Pen 0.10 0.10
It  18000  18002 | T(s) 3.68 | Feas 58 837.67 842.02 | Inf 50 849.19 857.77 | Div 0.24 0.29 | Feas 0.86 1.00 | Pen 0.10 0.10
It  18500  18502 | T(s) 3.78 | Feas 53 837.67 840.86 | Inf 64 849.19 856.55 | Div 0.22 0.23 | Feas 0.84 1.00 | Pen 0.10 0.10
It  19000  19002 | T(s) 3.88 | Feas 60 837.67 841.88 | Inf 63 849.19 854.23 | Div 0.23 0.24 | Feas 0.88 1.00 | Pen 0.10 0.10
It  19500  19502 | T(s) 3.98 | Feas 35 837.67 845.42 | Inf 53 849.19 855.19 | Div 0.35 0.23 | Feas 0.87 1.00 | Pen 0.10 0.10
----- GENETIC ALGORITHM FINISHED AFTER 20000 ITERATIONS. TIME SPENT: 4.08388
----- WRITING BEST SOLUTION IN : baseline_results/cvrp_hgs/Vrp-Set-E-n33/Vrp-Set-E-n33-hgs/0.hgs1.tour
