=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-F-n72/Vrp-Set-F-n72-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 8 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 71 CLIENTS AND 8 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.08 | Feas 59 246.79 251.77 | Inf 1 250.28 250.28 | Div 0.18 -nan | Feas 0.99 1.00 | Pen 0.10 0.85
It    500    254 | T(s) 0.31 | Feas 54 242.44 245.88 | Inf 38 249.81 250.51 | Div 0.17 0.07 | Feas 0.65 1.00 | Pen 0.10 0.38
It   1000    462 | T(s) 0.51 | Feas 58 241.97 245.00 | Inf 51 249.81 250.36 | Div 0.17 0.07 | Feas 0.52 1.00 | Pen 0.10 0.17
It   1500    962 | T(s) 0.70 | Feas 31 241.97 244.74 | Inf 37 249.81 251.51 | Div 0.19 0.13 | Feas 0.77 1.00 | Pen 0.10 0.10
It   2000   1462 | T(s) 0.91 | Feas 43 241.97 244.55 | Inf 27 249.81 255.47 | Div 0.17 0.22 | Feas 0.72 1.00 | Pen 0.10 0.10
It   2500   1962 | T(s) 1.10 | Feas 27 241.97 246.23 | Inf 37 249.81 251.28 | Div 0.23 0.15 | Feas 0.67 1.00 | Pen 0.10 0.10
It   3000   2462 | T(s) 1.31 | Feas 60 241.97 244.03 | Inf 51 249.81 250.25 | Div 0.14 0.09 | Feas 0.78 1.00 | Pen 0.10 0.10
It   3500   2962 | T(s) 1.51 | Feas 33 241.97 245.14 | Inf 36 249.81 251.13 | Div 0.20 0.16 | Feas 0.64 1.00 | Pen 0.10 0.10
It   4000   3462 | T(s) 1.70 | Feas 50 241.97 243.99 | Inf 57 249.81 249.98 | Div 0.15 0.05 | Feas 0.73 1.00 | Pen 0.10 0.10
It   4500   3962 | T(s) 1.90 | Feas 36 241.97 245.20 | Inf 33 249.81 252.62 | Div 0.20 0.20 | Feas 0.71 1.00 | Pen 0.10 0.10
It   5000   4462 | T(s) 2.09 | Feas 49 241.97 245.10 | Inf 51 249.81 250.14 | Div 0.18 0.08 | Feas 0.64 1.00 | Pen 0.10 0.10
It   5500   4962 | T(s) 2.31 | Feas 55 241.97 243.97 | Inf 33 249.81 251.70 | Div 0.15 0.19 | Feas 0.75 1.00 | Pen 0.10 0.10
It   6000   5462 | T(s) 2.50 | Feas 31 241.97 245.53 | Inf 56 249.81 250.39 | Div 0.22 0.10 | Feas 0.68 1.00 | Pen 0.10 0.10
It   6500   5962 | T(s) 2.69 | Feas 51 241.97 244.51 | Inf 30 249.81 253.12 | Div 0.17 0.23 | Feas 0.69 1.00 | Pen 0.10 0.10
It   7000   6462 | T(s) 2.89 | Feas 38 241.97 244.60 | Inf 37 249.81 251.05 | Div 0.18 0.16 | Feas 0.69 1.00 | Pen 0.10 0.10
It   7500   6962 | T(s) 3.08 | Feas 56 241.97 244.91 | Inf 63 249.81 250.00 | Div 0.18 0.05 | Feas 0.75 1.00 | Pen 0.10 0.10
It   8000   7462 | T(s) 3.27 | Feas 56 241.97 244.75 | Inf 62 249.81 250.02 | Div 0.17 0.06 | Feas 0.74 1.00 | Pen 0.10 0.10
It   8500   7962 | T(s) 3.46 | Feas 32 241.97 245.31 | Inf 45 249.81 250.95 | Div 0.20 0.15 | Feas 0.77 1.00 | Pen 0.10 0.10
It   9000   8462 | T(s) 3.66 | Feas 48 241.97 244.91 | Inf 25 249.81 255.22 | Div 0.17 0.27 | Feas 0.67 1.00 | Pen 0.10 0.10
It   9500   8962 | T(s) 3.85 | Feas 31 241.97 245.86 | Inf 37 249.81 251.15 | Div 0.22 0.16 | Feas 0.71 1.00 | Pen 0.10 0.10
It  10000   9462 | T(s) 4.04 | Feas 56 241.97 243.70 | Inf 47 249.81 250.29 | Div 0.13 0.10 | Feas 0.79 1.00 | Pen 0.10 0.10
It  10500   9962 | T(s) 4.23 | Feas 30 241.97 244.78 | Inf 31 249.81 251.57 | Div 0.19 0.18 | Feas 0.68 1.00 | Pen 0.10 0.10
It  11000  10462 | T(s) 4.43 | Feas 51 241.97 244.24 | Inf 50 249.81 250.34 | Div 0.16 0.11 | Feas 0.68 1.00 | Pen 0.10 0.10
It  11500  10962 | T(s) 4.61 | Feas 35 241.97 244.90 | Inf 56 249.81 249.98 | Div 0.19 0.06 | Feas 0.73 1.00 | Pen 0.10 0.10
It  12000  11462 | T(s) 4.80 | Feas 42 241.97 245.00 | Inf 44 249.81 250.75 | Div 0.19 0.13 | Feas 0.71 1.00 | Pen 0.10 0.10
It  12500  11962 | T(s) 4.99 | Feas 58 241.97 244.03 | Inf 51 249.81 250.21 | Div 0.15 0.09 | Feas 0.66 1.00 | Pen 0.10 0.10
It  13000  12462 | T(s) 5.18 | Feas 45 241.97 244.76 | Inf 34 249.81 251.29 | Div 0.17 0.18 | Feas 0.72 1.00 | Pen 0.10 0.10
