=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-Golden-n201/Vrp-Set-Golden-n201-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 9 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 200 CLIENTS AND 9 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.42 | Feas 60 6640.81 6733.04 | NO-INFEASIBLE | Div 0.26 -1.00 | Feas 1.00 1.00 | Pen 17.00 0.85
It    500      3 | T(s) 1.15 | Feas 27 6466.68 6625.36 | NO-INFEASIBLE | Div 0.26 -1.00 | Feas 1.00 1.00 | Pen 7.54 0.38
It   1000    314 | T(s) 1.77 | Feas 35 6460.98 6466.46 | NO-INFEASIBLE | Div 0.15 -1.00 | Feas 1.00 1.00 | Pen 3.35 0.17
It   1500    814 | T(s) 2.39 | Feas 43 6460.98 6468.00 | NO-INFEASIBLE | Div 0.15 -1.00 | Feas 1.00 1.00 | Pen 1.49 0.10
It   2000   1314 | T(s) 3.00 | Feas 46 6460.98 6469.50 | Inf 18 6476.95 6634.50 | Div 0.15 0.21 | Feas 0.88 1.00 | Pen 0.66 0.10
It   2500   1814 | T(s) 3.71 | Feas 57 6460.98 6470.24 | Inf 57 6466.83 6475.58 | Div 0.15 0.13 | Feas 0.59 1.00 | Pen 0.29 0.10
It   3000   2314 | T(s) 4.46 | Feas 55 6460.98 6471.13 | Inf 39 6429.02 6493.63 | Div 0.15 0.19 | Feas 0.47 1.00 | Pen 0.13 0.10
It   3500   2814 | T(s) 5.42 | Feas 64 6460.98 6465.09 | Inf 38 6407.63 6447.82 | Div 0.15 0.18 | Feas 0.28 1.00 | Pen 0.10 0.10
It   4000   3314 | T(s) 6.48 | Feas 44 6460.98 6474.86 | Inf 41 6418.25 6435.71 | Div 0.17 0.18 | Feas 0.20 1.00 | Pen 0.12 0.10
It   4500   3814 | T(s) 7.47 | Feas 27 6460.98 6503.69 | Inf 63 6417.05 6431.53 | Div 0.20 0.17 | Feas 0.23 1.00 | Pen 0.12 0.10
It   5000   4314 | T(s) 8.55 | Feas 63 6460.98 6470.62 | Inf 60 6428.61 6439.23 | Div 0.16 0.16 | Feas 0.11 1.00 | Pen 0.15 0.10
It   5500   4814 | T(s) 9.52 | Feas 56 6460.98 6469.71 | Inf 30 6411.09 6438.24 | Div 0.16 0.20 | Feas 0.16 1.00 | Pen 0.11 0.10
It   6000   5314 | T(s) 10.61 | Feas 59 6460.98 6466.91 | Inf 53 6400.93 6417.24 | Div 0.16 0.17 | Feas 0.18 1.00 | Pen 0.10 0.10
It   6500   5814 | T(s) 11.71 | Feas 58 6460.98 6469.49 | Inf 47 6399.93 6423.16 | Div 0.16 0.18 | Feas 0.16 1.00 | Pen 0.10 0.10
It   7000   6314 | T(s) 12.78 | Feas 41 6460.98 6476.56 | Inf 36 6399.93 6437.53 | Div 0.18 0.19 | Feas 0.17 1.00 | Pen 0.10 0.10
It   7500   6814 | T(s) 13.82 | Feas 55 6460.98 6472.15 | Inf 31 6417.05 6442.84 | Div 0.17 0.19 | Feas 0.13 1.00 | Pen 0.12 0.10
It   8000   7314 | T(s) 14.87 | Feas 34 6460.98 6480.90 | Inf 46 6405.18 6439.95 | Div 0.18 0.19 | Feas 0.18 1.00 | Pen 0.10 0.10
It   8500   7814 | T(s) 15.95 | Feas 62 6460.98 6466.15 | Inf 41 6417.05 6442.83 | Div 0.15 0.19 | Feas 0.23 1.00 | Pen 0.12 0.10
It   9000   8314 | T(s) 16.96 | Feas 63 6460.98 6465.85 | Inf 50 6399.93 6423.00 | Div 0.15 0.17 | Feas 0.20 1.00 | Pen 0.10 0.10
It   9500   8814 | T(s) 18.01 | Feas 48 6460.98 6471.34 | Inf 48 6417.05 6439.38 | Div 0.16 0.19 | Feas 0.18 1.00 | Pen 0.12 0.10
It  10000   9314 | T(s) 19.03 | Feas 33 6460.98 6486.76 | Inf 49 6405.63 6419.64 | Div 0.19 0.17 | Feas 0.26 1.00 | Pen 0.10 0.10
It  10500   9814 | T(s) 20.15 | Feas 40 6460.98 6475.26 | Inf 43 6399.93 6426.93 | Div 0.18 0.18 | Feas 0.16 1.00 | Pen 0.10 0.10
It  11000  10314 | T(s) 21.18 | Feas 28 6460.98 6518.06 | Inf 60 6405.63 6431.76 | Div 0.20 0.18 | Feas 0.19 1.00 | Pen 0.10 0.10
It  11500  10814 | T(s) 22.21 | Feas 26 6460.98 6490.17 | Inf 41 6409.31 6435.84 | Div 0.20 0.19 | Feas 0.21 1.00 | Pen 0.10 0.10
It  12000  11314 | T(s) 23.25 | Feas 29 6460.98 6515.32 | Inf 25 6419.14 6502.12 | Div 0.21 0.23 | Feas 0.12 1.00 | Pen 0.12 0.10
It  12500  11814 | T(s) 24.30 | Feas 64 6460.98 6468.05 | Inf 54 6420.21 6434.05 | Div 0.16 0.18 | Feas 0.24 1.00 | Pen 0.13 0.10
It  13000  12314 | T(s) 25.36 | Feas 48 6460.98 6474.14 | Inf 30 6420.21 6450.44 | Div 0.17 0.20 | Feas 0.25 1.00 | Pen 0.13 0.10
It  13500  12814 | T(s) 26.38 | Feas 55 6460.98 6468.82 | Inf 44 6412.00 6430.44 | Div 0.16 0.18 | Feas 0.23 1.00 | Pen 0.11 0.10
It  14000  13314 | T(s) 27.38 | Feas 48 6460.98 6474.74 | Inf 64 6408.45 6418.23 | Div 0.17 0.16 | Feas 0.20 1.00 | Pen 0.10 0.10
It  14500  13814 | T(s) 28.42 | Feas 30 6460.98 6491.93 | Inf 65 6417.05 6432.28 | Div 0.20 0.17 | Feas 0.14 1.00 | Pen 0.12 0.10
It  15000  14314 | T(s) 29.46 | Feas 44 6460.98 6480.81 | Inf 45 6419.14 6438.94 | Div 0.18 0.18 | Feas 0.30 1.00 | Pen 0.12 0.10
It  15500  14814 | T(s) 30.48 | Feas 49 6460.98 6468.47 | Inf 28 6412.00 6447.40 | Div 0.16 0.20 | Feas 0.18 1.00 | Pen 0.11 0.10
It  16000  15314 | T(s) 31.52 | Feas 46 6460.98 6468.92 | Inf 28 6412.00 6466.35 | Div 0.16 0.21 | Feas 0.17 1.00 | Pen 0.11 0.10
It  16500  15814 | T(s) 32.55 | Feas 51 6460.98 6464.17 | Inf 50 6421.31 6437.69 | Div 0.14 0.18 | Feas 0.25 1.00 | Pen 0.13 0.10
It  17000  16314 | T(s) 33.59 | Feas 56 6460.98 6473.63 | Inf 35 6417.05 6449.65 | Div 0.17 0.20 | Feas 0.11 1.00 | Pen 0.12 0.10
