=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-Golden-n361/Vrp-Set-Golden-n361-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 46 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 360 CLIENTS AND 46 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.59 | Feas 60 1402.62 1426.82 | Inf 1 1474.52 1474.52 | Div 0.64 -nan | Feas 0.99 1.00 | Pen 1.30 0.85
It    500     84 | T(s) 2.11 | Feas 37 1392.24 1397.14 | Inf 63 1399.94 1404.82 | Div 0.57 0.50 | Feas 0.58 1.00 | Pen 0.58 0.38
It   1000     80 | T(s) 4.10 | Feas 60 1384.42 1391.46 | Inf 27 1385.65 1394.61 | Div 0.54 0.58 | Feas 0.34 1.00 | Pen 0.26 0.17
It   1500     71 | T(s) 6.02 | Feas 33 1378.60 1386.89 | Inf 45 1380.76 1385.37 | Div 0.55 0.52 | Feas 0.23 1.00 | Pen 0.22 0.10
It   2000     77 | T(s) 7.97 | Feas 53 1374.53 1379.54 | Inf 40 1375.06 1381.10 | Div 0.45 0.48 | Feas 0.15 1.00 | Pen 0.23 0.10
It   2500    178 | T(s) 9.82 | Feas 49 1370.70 1373.73 | Inf 44 1368.21 1374.06 | Div 0.31 0.37 | Feas 0.29 1.00 | Pen 0.17 0.10
It   3000    678 | T(s) 11.69 | Feas 32 1370.70 1375.75 | Inf 44 1371.67 1375.00 | Div 0.45 0.42 | Feas 0.18 1.00 | Pen 0.20 0.10
It   3500     63 | T(s) 13.63 | Feas 54 1370.26 1372.12 | Inf 64 1370.86 1374.14 | Div 0.33 0.34 | Feas 0.25 1.00 | Pen 0.21 0.10
It   4000     22 | T(s) 15.44 | Feas 40 1369.62 1372.07 | Inf 40 1370.34 1373.94 | Div 0.35 0.41 | Feas 0.31 1.00 | Pen 0.18 0.10
It   4500     82 | T(s) 17.47 | Feas 32 1369.40 1371.70 | Inf 28 1363.19 1371.93 | Div 0.36 0.54 | Feas 0.27 1.00 | Pen 0.16 0.10
It   5000     74 | T(s) 19.37 | Feas 54 1369.01 1370.10 | Inf 47 1364.06 1367.39 | Div 0.25 0.39 | Feas 0.35 1.00 | Pen 0.16 0.10
It   5500    574 | T(s) 21.31 | Feas 64 1369.01 1369.74 | Inf 44 1366.56 1371.91 | Div 0.21 0.43 | Feas 0.12 1.00 | Pen 0.19 0.10
It   6000    475 | T(s) 23.17 | Feas 42 1368.91 1371.07 | Inf 60 1362.93 1366.68 | Div 0.32 0.36 | Feas 0.27 1.00 | Pen 0.17 0.10
It   6500    975 | T(s) 25.10 | Feas 50 1368.91 1370.68 | Inf 63 1367.66 1370.95 | Div 0.30 0.35 | Feas 0.11 1.00 | Pen 0.20 0.10
It   7000    434 | T(s) 27.09 | Feas 34 1368.58 1371.11 | Inf 49 1363.88 1369.85 | Div 0.33 0.43 | Feas 0.19 1.00 | Pen 0.18 0.10
It   7500    136 | T(s) 29.05 | Feas 31 1368.30 1370.57 | Inf 25 1359.76 1368.33 | Div 0.34 0.51 | Feas 0.19 1.00 | Pen 0.15 0.10
It   8000    153 | T(s) 31.10 | Feas 43 1368.23 1369.32 | Inf 28 1368.49 1379.96 | Div 0.26 0.51 | Feas 0.15 1.00 | Pen 0.22 0.10
It   8500    376 | T(s) 32.94 | Feas 26 1368.21 1372.99 | Inf 36 1359.57 1367.74 | Div 0.39 0.43 | Feas 0.32 1.00 | Pen 0.16 0.10
It   9000    227 | T(s) 34.87 | Feas 47 1367.86 1370.00 | Inf 26 1366.44 1375.30 | Div 0.31 0.50 | Feas 0.23 1.00 | Pen 0.19 0.10
It   9500    727 | T(s) 36.79 | Feas 26 1367.86 1373.54 | Inf 51 1362.83 1366.62 | Div 0.44 0.40 | Feas 0.26 1.00 | Pen 0.17 0.10
It  10000    136 | T(s) 38.71 | Feas 44 1367.29 1368.52 | Inf 28 1353.84 1362.09 | Div 0.22 0.46 | Feas 0.26 1.00 | Pen 0.15 0.10
It  10500    462 | T(s) 40.76 | Feas 51 1367.26 1368.82 | Inf 32 1369.80 1375.89 | Div 0.25 0.49 | Feas 0.22 1.00 | Pen 0.21 0.10
It  11000    388 | T(s) 42.76 | Feas 44 1367.18 1369.00 | Inf 54 1364.36 1369.24 | Div 0.27 0.43 | Feas 0.20 1.00 | Pen 0.18 0.10
It  11500    888 | T(s) 44.68 | Feas 34 1367.18 1368.40 | Inf 35 1366.57 1369.88 | Div 0.22 0.38 | Feas 0.15 1.00 | Pen 0.19 0.10
It  12000    117 | T(s) 46.37 | Feas 53 1366.78 1368.17 | Inf 46 1360.00 1364.77 | Div 0.23 0.39 | Feas 0.17 1.00 | Pen 0.16 0.10
It  12500    481 | T(s) 47.85 | Feas 34 1366.68 1368.14 | Inf 37 1360.31 1365.51 | Div 0.24 0.43 | Feas 0.18 1.00 | Pen 0.16 0.10
It  13000    981 | T(s) 49.30 | Feas 47 1366.68 1367.79 | Inf 27 1367.73 1374.84 | Div 0.21 0.49 | Feas 0.13 1.00 | Pen 0.20 0.10
It  13500    103 | T(s) 50.71 | Feas 37 1366.24 1367.86 | Inf 31 1361.20 1366.54 | Div 0.25 0.44 | Feas 0.20 1.00 | Pen 0.17 0.10
It  14000    603 | T(s) 52.26 | Feas 26 1366.24 1370.07 | Inf 30 1367.21 1373.25 | Div 0.33 0.45 | Feas 0.23 1.00 | Pen 0.21 0.10
It  14500   1103 | T(s) 53.76 | Feas 49 1366.24 1367.77 | Inf 47 1363.39 1368.41 | Div 0.23 0.43 | Feas 0.10 1.00 | Pen 0.18 0.10
It  15000   1603 | T(s) 55.26 | Feas 33 1366.24 1367.25 | Inf 34 1363.39 1368.11 | Div 0.20 0.45 | Feas 0.22 1.00 | Pen 0.18 0.10
It  15500    362 | T(s) 57.16 | Feas 27 1366.24 1367.71 | Inf 26 1368.14 1374.81 | Div 0.22 0.45 | Feas 0.24 1.00 | Pen 0.21 0.10
It  16000    862 | T(s) 58.60 | Feas 28 1366.24 1366.91 | Inf 37 1359.56 1363.47 | Div 0.18 0.43 | Feas 0.19 1.00 | Pen 0.16 0.10
It  16500   1362 | T(s) 60.17 | Feas 44 1366.24 1367.44 | Inf 32 1357.67 1362.87 | Div 0.21 0.45 | Feas 0.18 1.00 | Pen 0.16 0.10
It  17000   1862 | T(s) 61.67 | Feas 62 1366.24 1366.92 | Inf 62 1359.58 1363.59 | Div 0.15 0.36 | Feas 0.27 1.00 | Pen 0.16 0.10
It  17500   2362 | T(s) 63.18 | Feas 46 1366.24 1366.81 | Inf 54 1360.56 1364.68 | Div 0.16 0.35 | Feas 0.27 1.00 | Pen 0.17 0.10
It  18000   2862 | T(s) 64.59 | Feas 43 1366.24 1366.43 | Inf 33 1362.21 1365.89 | Div 0.12 0.41 | Feas 0.25 1.00 | Pen 0.17 0.10
It  18500   3362 | T(s) 66.17 | Feas 39 1366.24 1366.87 | Inf 36 1366.42 1371.64 | Div 0.18 0.39 | Feas 0.14 1.00 | Pen 0.20 0.10
It  19000   3862 | T(s) 67.63 | Feas 32 1366.24 1366.57 | Inf 46 1356.42 1362.51 | Div 0.15 0.40 | Feas 0.29 1.00 | Pen 0.15 0.10
It  19500   4362 | T(s) 69.14 | Feas 65 1366.24 1366.57 | Inf 33 1363.49 1367.69 | Div 0.13 0.42 | Feas 0.25 1.00 | Pen 0.18 0.10
It  20000   4862 | T(s) 70.58 | Feas 55 1366.24 1366.54 | Inf 54 1363.49 1365.32 | Div 0.13 0.35 | Feas 0.24 1.00 | Pen 0.18 0.10
It  20500    192 | T(s) 72.06 | Feas 60 1366.24 1367.07 | Inf 39 1367.82 1371.78 | Div 0.16 0.37 | Feas 0.15 1.00 | Pen 0.22 0.10
It  21000    692 | T(s) 73.47 | Feas 42 1366.24 1366.64 | Inf 56 1359.95 1361.22 | Div 0.16 0.34 | Feas 0.17 1.00 | Pen 0.16 0.10
It  21500   1192 | T(s) 74.99 | Feas 55 1366.24 1366.48 | Inf 54 1364.16 1369.44 | Div 0.15 0.36 | Feas 0.14 1.00 | Pen 0.19 0.10
It  22000   1692 | T(s) 76.49 | Feas 35 1366.24 1366.47 | Inf 43 1360.62 1362.24 | Div 0.13 0.38 | Feas 0.21 1.00 | Pen 0.16 0.10
It  22500   2192 | T(s) 78.00 | Feas 62 1366.24 1366.31 | Inf 65 1360.46 1362.50 | Div 0.10 0.31 | Feas 0.22 1.00 | Pen 0.17 0.10
It  23000    471 | T(s) 79.47 | Feas 50 1366.07 1367.37 | Inf 48 1361.25 1362.99 | Div 0.20 0.28 | Feas 0.22 1.00 | Pen 0.17 0.10
It  23500    971 | T(s) 80.81 | Feas 57 1366.07 1367.05 | Inf 48 1361.25 1363.19 | Div 0.20 0.31 | Feas 0.18 1.00 | Pen 0.17 0.10
It  24000   1471 | T(s) 82.23 | Feas 51 1366.07 1367.47 | Inf 35 1361.72 1364.99 | Div 0.21 0.31 | Feas 0.34 1.00 | Pen 0.17 0.10
It  24500   1971 | T(s) 83.63 | Feas 44 1366.07 1366.25 | Inf 53 1354.48 1358.14 | Div 0.13 0.17 | Feas 0.30 1.00 | Pen 0.15 0.10
It  25000   2471 | T(s) 85.02 | Feas 31 1366.07 1366.36 | Inf 46 1362.13 1365.56 | Div 0.17 0.36 | Feas 0.18 1.00 | Pen 0.18 0.10
It  25500   2971 | T(s) 86.59 | Feas 58 1366.07 1366.29 | Inf 40 1362.13 1364.54 | Div 0.13 0.33 | Feas 0.17 1.00 | Pen 0.18 0.10
It  26000   3471 | T(s) 88.31 | Feas 38 1366.07 1366.35 | Inf 60 1362.13 1363.02 | Div 0.14 0.24 | Feas 0.22 1.00 | Pen 0.18 0.10
It  26500   3971 | T(s) 89.87 | Feas 25 1366.07 1367.25 | Inf 45 1355.10 1361.17 | Div 0.20 0.38 | Feas 0.28 1.00 | Pen 0.15 0.10
It  27000   4471 | T(s) 91.29 | Feas 31 1366.07 1366.89 | Inf 39 1356.95 1362.46 | Div 0.19 0.40 | Feas 0.19 1.00 | Pen 0.16 0.10
It  27500   4971 | T(s) 92.72 | Feas 33 1366.07 1366.81 | Inf 34 1364.95 1370.77 | Div 0.19 0.40 | Feas 0.15 1.00 | Pen 0.19 0.10
It  28000   5471 | T(s) 94.20 | Feas 59 1366.07 1366.29 | Inf 59 1365.42 1369.04 | Div 0.14 0.34 | Feas 0.21 1.00 | Pen 0.20 0.10
It  28500   5971 | T(s) 95.64 | Feas 53 1366.07 1366.25 | Inf 38 1359.87 1366.17 | Div 0.12 0.41 | Feas 0.24 1.00 | Pen 0.17 0.10
It  29000   6471 | T(s) 97.07 | Feas 62 1366.07 1366.13 | Inf 59 1360.89 1365.39 | Div 0.08 0.35 | Feas 0.21 1.00 | Pen 0.17 0.10
It  29500   6971 | T(s) 98.58 | Feas 36 1366.07 1367.70 | Inf 58 1360.89 1364.81 | Div 0.20 0.38 | Feas 0.17 1.00 | Pen 0.17 0.10
It  30000   7471 | T(s) 100.11 | Feas 63 1366.07 1366.26 | Inf 50 1360.89 1364.75 | Div 0.12 0.39 | Feas 0.18 1.00 | Pen 0.17 0.10
