=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-Golden-n484/Vrp-Set-Golden-n484-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 28 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 483 CLIENTS AND 28 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 1.82 | Feas 38 1156.11 1165.58 | Inf 40 1160.83 1170.12 | Div 0.60 0.60 | Feas 0.60 1.00 | Pen 0.12 0.85
It    500    300 | T(s) 6.79 | Feas 64 1136.57 1144.70 | Inf 39 1137.08 1144.03 | Div 0.52 0.53 | Feas 0.29 1.00 | Pen 0.10 0.38
It   1000    332 | T(s) 11.52 | Feas 38 1129.39 1137.05 | Inf 51 1129.50 1135.47 | Div 0.50 0.47 | Feas 0.26 1.00 | Pen 0.10 0.17
It   1500    221 | T(s) 16.09 | Feas 49 1126.03 1131.72 | Inf 45 1125.16 1130.94 | Div 0.42 0.44 | Feas 0.23 1.00 | Pen 0.12 0.10
It   2000    464 | T(s) 20.64 | Feas 61 1125.12 1130.22 | Inf 30 1125.26 1130.20 | Div 0.39 0.45 | Feas 0.13 1.00 | Pen 0.12 0.10
It   2500    186 | T(s) 25.14 | Feas 60 1124.36 1129.05 | Inf 40 1123.25 1129.59 | Div 0.38 0.44 | Feas 0.26 1.00 | Pen 0.10 0.10
It   3000    686 | T(s) 29.75 | Feas 47 1124.36 1127.72 | Inf 36 1123.25 1127.45 | Div 0.40 0.42 | Feas 0.19 1.00 | Pen 0.10 0.10
It   3500    199 | T(s) 34.16 | Feas 27 1122.75 1128.95 | Inf 32 1122.12 1126.11 | Div 0.47 0.41 | Feas 0.26 1.00 | Pen 0.10 0.10
It   4000    699 | T(s) 38.72 | Feas 65 1122.75 1125.63 | Inf 62 1122.16 1124.68 | Div 0.34 0.35 | Feas 0.28 1.00 | Pen 0.10 0.10
It   4500    488 | T(s) 43.02 | Feas 47 1121.20 1124.74 | Inf 63 1120.27 1123.65 | Div 0.35 0.34 | Feas 0.17 1.00 | Pen 0.10 0.10
It   5000    350 | T(s) 47.51 | Feas 48 1120.76 1124.24 | Inf 58 1120.36 1123.58 | Div 0.40 0.38 | Feas 0.15 1.00 | Pen 0.12 0.10
It   5500    850 | T(s) 52.06 | Feas 64 1120.76 1124.20 | Inf 30 1118.61 1127.20 | Div 0.38 0.46 | Feas 0.16 1.00 | Pen 0.10 0.10
It   6000    196 | T(s) 56.62 | Feas 48 1120.03 1123.33 | Inf 33 1118.65 1122.55 | Div 0.39 0.41 | Feas 0.24 1.00 | Pen 0.12 0.10
It   6500     22 | T(s) 61.06 | Feas 30 1119.22 1122.25 | Inf 54 1118.69 1119.73 | Div 0.39 0.25 | Feas 0.14 1.00 | Pen 0.12 0.10
It   7000    345 | T(s) 65.25 | Feas 49 1118.22 1121.01 | Inf 34 1118.00 1120.85 | Div 0.31 0.32 | Feas 0.22 1.00 | Pen 0.12 0.10
It   7500    845 | T(s) 69.65 | Feas 29 1118.22 1123.26 | Inf 56 1117.19 1119.86 | Div 0.40 0.30 | Feas 0.20 1.00 | Pen 0.11 0.10
It   8000   1345 | T(s) 73.75 | Feas 34 1118.22 1120.89 | Inf 57 1116.62 1118.84 | Div 0.36 0.26 | Feas 0.18 1.00 | Pen 0.11 0.10
It   8500    318 | T(s) 78.21 | Feas 34 1117.53 1121.74 | Inf 65 1116.61 1119.02 | Div 0.40 0.27 | Feas 0.21 1.00 | Pen 0.10 0.10
It   9000    818 | T(s) 83.03 | Feas 25 1117.53 1126.15 | Inf 49 1116.61 1119.12 | Div 0.44 0.30 | Feas 0.23 1.00 | Pen 0.10 0.10
It   9500   1318 | T(s) 88.29 | Feas 45 1117.53 1121.10 | Inf 55 1116.65 1118.27 | Div 0.38 0.25 | Feas 0.12 1.00 | Pen 0.12 0.10
It  10000    168 | T(s) 93.27 | Feas 29 1117.30 1122.82 | Inf 44 1116.60 1118.59 | Div 0.41 0.26 | Feas 0.15 1.00 | Pen 0.15 0.10
It  10500    110 | T(s) 98.36 | Feas 35 1116.93 1122.59 | Inf 59 1115.59 1118.80 | Div 0.42 0.32 | Feas 0.21 1.00 | Pen 0.11 0.10
It  11000    610 | T(s) 103.38 | Feas 59 1116.93 1120.14 | Inf 48 1115.59 1118.60 | Div 0.35 0.32 | Feas 0.20 1.00 | Pen 0.11 0.10
It  11500   1110 | T(s) 108.58 | Feas 26 1116.93 1123.15 | Inf 31 1115.61 1119.71 | Div 0.43 0.37 | Feas 0.21 1.00 | Pen 0.11 0.10
It  12000   1610 | T(s) 113.64 | Feas 30 1116.93 1121.74 | Inf 48 1115.64 1118.75 | Div 0.40 0.32 | Feas 0.19 1.00 | Pen 0.11 0.10
It  12500   2110 | T(s) 118.94 | Feas 65 1116.93 1119.96 | Inf 36 1115.40 1119.98 | Div 0.35 0.38 | Feas 0.23 1.00 | Pen 0.10 0.10
It  13000    312 | T(s) 124.16 | Feas 27 1116.86 1122.04 | Inf 29 1115.41 1119.33 | Div 0.42 0.37 | Feas 0.18 1.00 | Pen 0.10 0.10
It  13500    150 | T(s) 129.47 | Feas 49 1116.29 1121.06 | Inf 30 1115.32 1118.32 | Div 0.38 0.36 | Feas 0.27 1.00 | Pen 0.10 0.10
It  14000    650 | T(s) 134.55 | Feas 30 1116.29 1121.77 | Inf 65 1115.26 1116.20 | Div 0.43 0.21 | Feas 0.27 1.00 | Pen 0.11 0.10
It  14500   1150 | T(s) 139.87 | Feas 60 1116.29 1120.87 | Inf 62 1115.28 1118.65 | Div 0.39 0.31 | Feas 0.26 1.00 | Pen 0.11 0.10
It  15000   1650 | T(s) 145.11 | Feas 60 1116.29 1120.71 | Inf 59 1115.19 1118.51 | Div 0.41 0.35 | Feas 0.24 1.00 | Pen 0.13 0.10
It  15500   2150 | T(s) 150.18 | Feas 40 1116.29 1120.93 | Inf 28 1115.22 1119.62 | Div 0.43 0.40 | Feas 0.19 1.00 | Pen 0.14 0.10
It  16000   2650 | T(s) 155.16 | Feas 33 1116.29 1120.75 | Inf 51 1115.03 1118.19 | Div 0.43 0.35 | Feas 0.18 1.00 | Pen 0.11 0.10
It  16500   3150 | T(s) 160.40 | Feas 35 1116.29 1120.50 | Inf 27 1115.08 1120.62 | Div 0.42 0.42 | Feas 0.15 1.00 | Pen 0.12 0.10
It  17000   3650 | T(s) 165.66 | Feas 60 1116.29 1120.55 | Inf 49 1115.12 1119.04 | Div 0.39 0.38 | Feas 0.23 1.00 | Pen 0.12 0.10
It  17500   4150 | T(s) 170.83 | Feas 52 1116.29 1122.15 | Inf 59 1114.95 1117.92 | Div 0.41 0.36 | Feas 0.24 1.00 | Pen 0.11 0.10
It  18000   4650 | T(s) 176.18 | Feas 30 1116.29 1124.52 | Inf 47 1115.15 1119.38 | Div 0.46 0.40 | Feas 0.20 1.00 | Pen 0.13 0.10
It  18500   5150 | T(s) 181.41 | Feas 37 1116.29 1121.20 | Inf 28 1114.86 1119.29 | Div 0.43 0.41 | Feas 0.30 1.00 | Pen 0.11 0.10
