=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-Li-n1121/Vrp-Set-Li-n1121-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 16 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 1120 CLIENTS AND 16 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 13.66 | Feas 60 36366.73 37381.57 | NO-INFEASIBLE | Div 0.24 -1.00 | Feas 1.00 1.00 | Pen 47.60 0.85
It    500     70 | T(s) 36.97 | Feas 27 34366.64 34579.89 | NO-INFEASIBLE | Div 0.14 -1.00 | Feas 1.00 1.00 | Pen 21.12 0.38
It   1000     21 | T(s) 56.98 | Feas 35 34346.35 34401.68 | NO-INFEASIBLE | Div 0.12 -1.00 | Feas 1.00 1.00 | Pen 9.37 0.17
It   1500    185 | T(s) 77.24 | Feas 43 34334.53 34366.13 | NO-INFEASIBLE | Div 0.11 -1.00 | Feas 1.00 1.00 | Pen 4.16 0.10
It   2000     16 | T(s) 92.12 | Feas 37 34333.34 34384.61 | Inf 22 34523.27 34698.89 | Div 0.11 0.09 | Feas 0.89 1.00 | Pen 1.84 0.10
It   2500    516 | T(s) 108.09 | Feas 59 34333.34 34346.66 | Inf 62 34440.84 34491.39 | Div 0.10 0.10 | Feas 0.72 1.00 | Pen 0.82 0.10
It   3000   1016 | T(s) 122.72 | Feas 27 34333.34 34388.10 | Inf 44 34406.76 34449.28 | Div 0.12 0.12 | Feas 0.46 1.00 | Pen 0.36 0.10
It   3500    463 | T(s) 136.19 | Feas 50 34332.87 34340.26 | Inf 57 34378.25 34388.69 | Div 0.09 0.10 | Feas 0.45 1.00 | Pen 0.16 0.10
It   4000    963 | T(s) 149.49 | Feas 53 34332.87 34336.96 | Inf 28 34360.16 34435.85 | Div 0.09 0.13 | Feas 0.34 1.00 | Pen 0.10 0.10
It   4500   1463 | T(s) 163.00 | Feas 61 34332.87 34337.34 | Inf 40 34326.12 34380.74 | Div 0.09 0.12 | Feas 0.25 1.00 | Pen 0.10 0.10
It   5000    426 | T(s) 176.02 | Feas 47 34332.14 34337.60 | Inf 30 34318.93 34362.94 | Div 0.10 0.11 | Feas 0.27 1.00 | Pen 0.10 0.10
It   5500    364 | T(s) 189.66 | Feas 62 34332.14 34334.98 | Inf 32 34315.47 34345.54 | Div 0.09 0.11 | Feas 0.22 1.00 | Pen 0.10 0.10
It   6000    864 | T(s) 202.76 | Feas 52 34332.14 34335.69 | Inf 64 34315.20 34327.85 | Div 0.09 0.10 | Feas 0.27 1.00 | Pen 0.10 0.10
It   6500   1364 | T(s) 216.05 | Feas 40 34332.14 34336.79 | Inf 45 34315.20 34327.16 | Div 0.08 0.09 | Feas 0.28 1.00 | Pen 0.10 0.10
