=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-P-n101/Vrp-Set-P-n101-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 8 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 100 CLIENTS AND 8 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.13 | Feas 60 699.26 707.95 | Inf 1 736.51 736.51 | Div 0.30 -nan | Feas 0.99 1.00 | Pen 1.90 0.85
It    500    178 | T(s) 0.43 | Feas 54 691.29 694.58 | Inf 36 690.50 694.67 | Div 0.18 0.17 | Feas 0.65 1.00 | Pen 0.84 0.38
It   1000    678 | T(s) 0.71 | Feas 56 691.29 693.70 | Inf 30 690.03 694.27 | Div 0.17 0.21 | Feas 0.43 1.00 | Pen 0.37 0.17
It   1500   1178 | T(s) 1.00 | Feas 54 691.29 693.56 | Inf 38 687.35 689.68 | Div 0.17 0.12 | Feas 0.28 1.00 | Pen 0.20 0.10
It   2000   1678 | T(s) 1.28 | Feas 33 691.29 694.36 | Inf 45 686.48 687.63 | Div 0.22 0.08 | Feas 0.21 1.00 | Pen 0.14 0.10
It   2500   2178 | T(s) 1.56 | Feas 36 691.29 694.53 | Inf 65 686.14 687.25 | Div 0.21 0.07 | Feas 0.20 1.00 | Pen 0.12 0.10
It   3000   2678 | T(s) 1.85 | Feas 63 691.29 694.06 | Inf 54 685.85 687.77 | Div 0.19 0.10 | Feas 0.17 1.00 | Pen 0.10 0.10
It   3500   3178 | T(s) 2.14 | Feas 53 691.29 693.73 | Inf 46 685.85 687.21 | Div 0.18 0.09 | Feas 0.20 1.00 | Pen 0.10 0.10
It   4000   3678 | T(s) 2.42 | Feas 25 691.29 695.31 | Inf 44 685.82 687.65 | Div 0.24 0.11 | Feas 0.27 1.00 | Pen 0.10 0.10
It   4500   4178 | T(s) 2.70 | Feas 62 691.29 693.82 | Inf 64 685.82 687.56 | Div 0.18 0.10 | Feas 0.19 1.00 | Pen 0.10 0.10
It   5000   4678 | T(s) 2.99 | Feas 63 691.29 693.77 | Inf 51 685.82 687.36 | Div 0.17 0.09 | Feas 0.22 1.00 | Pen 0.10 0.10
It   5500   5178 | T(s) 3.29 | Feas 31 691.29 694.18 | Inf 41 686.14 688.05 | Div 0.22 0.11 | Feas 0.13 1.00 | Pen 0.12 0.10
It   6000   5678 | T(s) 3.57 | Feas 25 691.29 696.44 | Inf 25 685.85 693.24 | Div 0.26 0.21 | Feas 0.20 1.00 | Pen 0.10 0.10
It   6500   6178 | T(s) 3.86 | Feas 29 691.29 694.63 | Inf 54 685.88 687.33 | Div 0.23 0.09 | Feas 0.27 1.00 | Pen 0.10 0.10
It   7000   6678 | T(s) 4.15 | Feas 58 691.29 693.68 | Inf 49 686.22 688.29 | Div 0.18 0.11 | Feas 0.19 1.00 | Pen 0.12 0.10
It   7500   7178 | T(s) 4.43 | Feas 46 691.29 694.02 | Inf 34 685.92 688.96 | Div 0.20 0.15 | Feas 0.18 1.00 | Pen 0.11 0.10
It   8000   7678 | T(s) 4.71 | Feas 26 691.29 695.87 | Inf 32 686.26 689.83 | Div 0.25 0.16 | Feas 0.18 1.00 | Pen 0.13 0.10
It   8500   8178 | T(s) 5.00 | Feas 46 691.29 693.62 | Inf 27 686.26 689.47 | Div 0.18 0.16 | Feas 0.21 1.00 | Pen 0.13 0.10
It   9000   8678 | T(s) 5.29 | Feas 55 691.29 693.61 | Inf 42 686.30 688.10 | Div 0.18 0.11 | Feas 0.17 1.00 | Pen 0.13 0.10
It   9500   9178 | T(s) 5.58 | Feas 50 691.29 693.96 | Inf 29 686.34 689.14 | Div 0.19 0.15 | Feas 0.13 1.00 | Pen 0.13 0.10
It  10000   9678 | T(s) 5.85 | Feas 44 691.29 693.89 | Inf 40 685.82 687.76 | Div 0.19 0.11 | Feas 0.22 1.00 | Pen 0.10 0.10
It  10500  10178 | T(s) 6.14 | Feas 46 691.29 694.16 | Inf 26 685.85 690.95 | Div 0.19 0.18 | Feas 0.20 1.00 | Pen 0.10 0.10
It  11000  10678 | T(s) 6.43 | Feas 39 691.29 694.19 | Inf 26 686.18 689.62 | Div 0.20 0.17 | Feas 0.18 1.00 | Pen 0.12 0.10
It  11500  11178 | T(s) 6.72 | Feas 25 691.29 699.27 | Inf 51 686.22 688.10 | Div 0.27 0.10 | Feas 0.30 1.00 | Pen 0.12 0.10
It  12000  11678 | T(s) 7.00 | Feas 30 691.29 695.19 | Inf 28 685.92 689.43 | Div 0.24 0.16 | Feas 0.28 1.00 | Pen 0.11 0.10
It  12500  12178 | T(s) 7.29 | Feas 30 691.29 694.62 | Inf 56 686.26 687.95 | Div 0.23 0.09 | Feas 0.14 1.00 | Pen 0.13 0.10
It  13000  12678 | T(s) 7.58 | Feas 29 691.29 694.67 | Inf 26 685.82 689.76 | Div 0.23 0.17 | Feas 0.26 1.00 | Pen 0.10 0.10
It  13500  13178 | T(s) 7.87 | Feas 29 691.29 694.75 | Inf 41 685.82 688.04 | Div 0.23 0.11 | Feas 0.25 1.00 | Pen 0.10 0.10
It  14000  13678 | T(s) 8.16 | Feas 61 691.29 693.52 | Inf 34 685.82 688.31 | Div 0.17 0.12 | Feas 0.18 1.00 | Pen 0.10 0.10
It  14500  14178 | T(s) 8.45 | Feas 65 691.29 693.55 | Inf 63 686.52 687.91 | Div 0.17 0.09 | Feas 0.19 1.00 | Pen 0.14 0.10
