=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-P-n22/Vrp-Set-P-n22-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 6 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 21 CLIENTS AND 6 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.02 | Feas 60 217.85 217.85 | NO-INFEASIBLE | Div 0.00 -1.00 | Feas 1.00 1.00 | Pen 1.46 0.85
It    500    502 | T(s) 0.09 | Feas 27 217.85 223.86 | Inf 42 222.96 222.96 | Div 0.27 0.00 | Feas 0.63 1.00 | Pen 0.65 0.38
It   1000   1002 | T(s) 0.16 | Feas 60 217.85 218.21 | Inf 42 221.97 222.12 | Div 0.03 0.09 | Feas 0.60 1.00 | Pen 0.29 0.17
It   1500   1502 | T(s) 0.23 | Feas 41 217.85 219.33 | Inf 33 203.77 208.31 | Div 0.11 0.21 | Feas 0.28 1.00 | Pen 0.13 0.10
It   2000   2002 | T(s) 0.29 | Feas 63 217.85 217.85 | Inf 48 200.95 201.21 | Div 0.00 0.11 | Feas 0.26 1.00 | Pen 0.11 0.10
It   2500   2502 | T(s) 0.36 | Feas 27 217.85 225.60 | Inf 29 204.53 209.29 | Div 0.30 0.23 | Feas 0.37 1.00 | Pen 0.13 0.10
It   3000   3002 | T(s) 0.43 | Feas 57 217.85 217.85 | Inf 64 201.59 201.71 | Div 0.00 0.06 | Feas 0.17 1.00 | Pen 0.11 0.10
It   3500   3502 | T(s) 0.49 | Feas 34 217.85 220.83 | Inf 51 204.92 205.08 | Div 0.20 0.09 | Feas 0.23 1.00 | Pen 0.14 0.10
It   4000   4002 | T(s) 0.56 | Feas 32 217.85 221.76 | Inf 30 205.32 209.19 | Div 0.24 0.21 | Feas 0.15 1.00 | Pen 0.14 0.10
It   4500   4502 | T(s) 0.62 | Feas 46 217.85 218.39 | Inf 47 206.14 206.54 | Div 0.04 0.11 | Feas 0.43 1.00 | Pen 0.14 0.10
It   5000   5002 | T(s) 0.69 | Feas 64 217.85 217.85 | Inf 32 206.57 210.55 | Div 0.00 0.21 | Feas 0.24 1.00 | Pen 0.15 0.10
It   5500   5502 | T(s) 0.76 | Feas 32 217.85 221.89 | Inf 52 207.00 207.27 | Div 0.23 0.10 | Feas 0.25 1.00 | Pen 0.15 0.10
It   6000   6002 | T(s) 0.83 | Feas 56 217.85 217.85 | Inf 30 203.69 208.31 | Div 0.00 0.22 | Feas 0.22 1.00 | Pen 0.13 0.10
It   6500   6502 | T(s) 0.90 | Feas 55 217.85 217.85 | Inf 28 204.07 209.98 | Div 0.00 0.23 | Feas 0.17 1.00 | Pen 0.13 0.10
It   7000   7002 | T(s) 0.96 | Feas 27 217.85 226.38 | Inf 46 204.84 205.45 | Div 0.32 0.13 | Feas 0.38 1.00 | Pen 0.13 0.10
It   7500   7502 | T(s) 1.03 | Feas 61 217.85 217.85 | Inf 47 204.84 204.97 | Div 0.00 0.09 | Feas 0.16 1.00 | Pen 0.13 0.10
It   8000   8002 | T(s) 1.10 | Feas 57 217.85 217.85 | Inf 42 204.84 205.70 | Div 0.00 0.14 | Feas 0.20 1.00 | Pen 0.13 0.10
It   8500   8502 | T(s) 1.16 | Feas 63 217.85 217.85 | Inf 32 208.82 211.92 | Div 0.00 0.20 | Feas 0.13 1.00 | Pen 0.16 0.10
It   9000   9002 | T(s) 1.23 | Feas 30 217.85 223.86 | Inf 44 205.24 206.12 | Div 0.28 0.13 | Feas 0.20 1.00 | Pen 0.14 0.10
It   9500   9502 | T(s) 1.30 | Feas 46 217.85 218.03 | Inf 58 202.19 202.31 | Div 0.02 0.05 | Feas 0.16 1.00 | Pen 0.12 0.10
It  10000  10002 | T(s) 1.36 | Feas 57 217.85 217.85 | Inf 39 202.89 204.32 | Div 0.00 0.15 | Feas 0.21 1.00 | Pen 0.12 0.10
It  10500  10502 | T(s) 1.43 | Feas 63 217.85 217.85 | Inf 28 202.89 208.55 | Div 0.00 0.23 | Feas 0.23 1.00 | Pen 0.12 0.10
