=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-P-n55/Vrp-Set-P-n55-hgs/1.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 23 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 54 CLIENTS AND 23 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.07 | Feas 63 955.21 966.14 | Inf 44 949.86 960.42 | Div 0.45 0.49 | Feas 0.16 1.00 | Pen 1.92 0.85
It    500    287 | T(s) 0.31 | Feas 46 944.56 951.83 | Inf 36 940.68 946.79 | Div 0.36 0.45 | Feas 0.31 1.00 | Pen 1.39 0.38
It   1000    787 | T(s) 0.50 | Feas 53 944.56 950.96 | Inf 39 943.22 948.69 | Div 0.34 0.46 | Feas 0.16 1.00 | Pen 1.67 0.17
It   1500   1287 | T(s) 0.70 | Feas 39 944.56 950.66 | Inf 33 943.49 950.09 | Div 0.35 0.49 | Feas 0.20 1.00 | Pen 1.70 0.10
It   2000   1787 | T(s) 0.91 | Feas 34 944.56 951.22 | Inf 34 945.80 954.06 | Div 0.39 0.49 | Feas 0.14 1.00 | Pen 2.04 0.10
It   2500   2287 | T(s) 1.10 | Feas 29 944.56 951.57 | Inf 44 940.14 945.02 | Div 0.41 0.42 | Feas 0.16 1.00 | Pen 1.48 0.10
It   3000   2787 | T(s) 1.30 | Feas 60 944.56 949.12 | Inf 36 940.73 948.15 | Div 0.27 0.48 | Feas 0.19 1.00 | Pen 1.50 0.10
It   3500   3287 | T(s) 1.50 | Feas 36 944.56 951.58 | Inf 27 944.32 951.93 | Div 0.40 0.51 | Feas 0.22 1.00 | Pen 1.81 0.10
It   4000   3787 | T(s) 1.69 | Feas 37 944.56 950.39 | Inf 36 941.94 946.77 | Div 0.36 0.44 | Feas 0.24 1.00 | Pen 1.57 0.10
It   4500   4287 | T(s) 1.89 | Feas 50 944.56 949.68 | Inf 32 945.20 951.01 | Div 0.31 0.46 | Feas 0.14 1.00 | Pen 1.92 0.10
It   5000   4787 | T(s) 2.09 | Feas 65 944.56 947.94 | Inf 45 943.16 946.09 | Div 0.21 0.37 | Feas 0.29 1.00 | Pen 1.66 0.10
