=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-X-n247/Vrp-Set-X-n247-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 64 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 246 CLIENTS AND 64 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.61 | NO-FEASIBLE | Inf 60 36201.05 36428.86 | Div -1.00 0.53 | Feas 0.00 1.00 | Pen 10.17 0.85
It    500    102 | T(s) 2.57 | Feas 51 37628.06 37995.67 | Inf 62 36854.15 37111.11 | Div 0.39 0.42 | Feas 0.06 1.00 | Pen 25.31 0.38
It   1000    602 | T(s) 4.20 | Feas 40 37628.06 37754.73 | Inf 37 37267.41 37432.69 | Div 0.41 0.44 | Feas 0.16 1.00 | Pen 43.74 0.17
It   1500    173 | T(s) 5.69 | Feas 39 37571.76 37711.05 | Inf 60 37193.02 37368.41 | Div 0.42 0.42 | Feas 0.14 1.00 | Pen 44.62 0.10
It   2000    310 | T(s) 7.13 | Feas 41 37523.32 37623.44 | Inf 55 37028.42 37125.19 | Div 0.40 0.36 | Feas 0.17 1.00 | Pen 38.68 0.10
It   2500    810 | T(s) 8.49 | Feas 44 37523.32 37590.07 | Inf 42 36932.16 36996.17 | Div 0.38 0.32 | Feas 0.09 1.00 | Pen 33.54 0.10
It   3000    273 | T(s) 9.88 | Feas 27 37509.37 37602.51 | Inf 29 36938.53 37024.30 | Div 0.41 0.30 | Feas 0.22 1.00 | Pen 34.21 0.10
It   3500    276 | T(s) 11.22 | Feas 44 37487.13 37529.18 | Inf 61 36926.48 36948.30 | Div 0.32 0.19 | Feas 0.19 1.00 | Pen 34.21 0.10
It   4000    776 | T(s) 12.56 | Feas 55 37487.13 37516.83 | Inf 43 36909.72 36976.55 | Div 0.28 0.29 | Feas 0.23 1.00 | Pen 34.21 0.10
It   4500   1276 | T(s) 13.93 | Feas 28 37487.13 37554.92 | Inf 29 36909.72 36971.44 | Div 0.34 0.31 | Feas 0.22 1.00 | Pen 34.21 0.10
It   5000    447 | T(s) 15.26 | Feas 50 37480.82 37506.31 | Inf 60 36827.62 36875.60 | Div 0.26 0.30 | Feas 0.20 1.00 | Pen 29.08 0.10
It   5500    947 | T(s) 16.60 | Feas 65 37480.82 37494.46 | Inf 53 36833.42 36892.65 | Div 0.21 0.30 | Feas 0.13 1.00 | Pen 29.66 0.10
It   6000    225 | T(s) 17.96 | Feas 53 37475.17 37493.34 | Inf 39 36827.24 36888.84 | Div 0.23 0.33 | Feas 0.19 1.00 | Pen 29.66 0.10
It   6500    202 | T(s) 19.35 | Feas 50 37469.21 37489.54 | Inf 42 36922.15 36961.76 | Div 0.23 0.25 | Feas 0.23 1.00 | Pen 35.59 0.10
It   7000    702 | T(s) 20.63 | Feas 42 37469.21 37486.27 | Inf 52 36772.36 36799.96 | Div 0.23 0.23 | Feas 0.22 1.00 | Pen 26.23 0.10
It   7500    120 | T(s) 22.00 | Feas 28 37462.87 37524.19 | Inf 36 36749.57 36857.71 | Div 0.35 0.37 | Feas 0.22 1.00 | Pen 26.23 0.10
